forest_source,avg_altitude,river_length,In_City,In_Habitat,geometry,id,status1,status2,status3
10000.0,842.422413793,0.0,0,0,"POLYGON ((101.23376615474899 21.22568672453764, 101.18562994871326 21.142312370000184, 101.08935753664196 21.142312370000184, 101.04122133060622 21.22568672453764, 101.08935753664196 21.30906107907498, 101.18562994871326 21.30906107907498, 101.23376615474899 21.22568672453764))",0,none,none,none
9947.91493776,1015.24012393,7.99281723619,0,0,"POLYGON ((101.37817477285603 21.142312370000184, 101.33003856682029 21.05893801546273, 101.23376615474899 21.05893801546273, 101.18562994871326 21.142312370000184, 101.23376615474899 21.22568672453764, 101.33003856682029 21.22568672453764, 101.37817477285603 21.142312370000184))",1,none,none,none
9994.72311978,1021.37591914,29.3110688309,0,1,"POLYGON ((101.52258339096329 21.22568672453764, 101.47444718492756 21.142312370000184, 101.37817477285603 21.142312370000184, 101.33003856682029 21.22568672453764, 101.37817477285603 21.30906107907498, 101.47444718492756 21.30906107907498, 101.52258339096329 21.22568672453764))",2,none,none,none
9901.515,1189.5014021,5.73739284556,0,0,"POLYGON ((101.66699200907033 21.142312370000184, 101.61885580303459 21.05893801546273, 101.52258339096329 21.05893801546273, 101.47444718492756 21.142312370000184, 101.52258339096329 21.22568672453764, 101.61885580303459 21.22568672453764, 101.66699200907033 21.142312370000184))",3,none,none,none
9767.89470535,1001.71765666,62.1307665654,0,0,"POLYGON ((101.81140062717736 21.22568672453764, 101.76326442114163 21.142312370000184, 101.66699200907033 21.142312370000184, 101.61885580303459 21.22568672453764, 101.66699200907033 21.30906107907498, 101.76326442114163 21.30906107907498, 101.81140062717736 21.22568672453764))",4,none,none,none
9987.82857143,1283.34285714,0.0,0,0,"POLYGON ((101.95580924528446 21.142312370000184, 101.90767303924889 21.05893801546273, 101.81140062717736 21.05893801546273, 101.76326442114163 21.142312370000184, 101.81140062717736 21.22568672453764, 101.90767303924889 21.22568672453764, 101.95580924528446 21.142312370000184))",5,none,none,none
9993.0,705.273568125,0.641497171682,0,0,"POLYGON ((100.36731444610632 21.392435433612434, 100.31917824007058 21.30906107907498, 100.22290582799928 21.30906107907498, 100.17476962196372 21.392435433612434, 100.22290582799928 21.47580978814989, 100.31917824007058 21.47580978814989, 100.36731444610632 21.392435433612434))",6,none,none,none
9970.03645833,1193.35463117,5.93052009898,0,0,"POLYGON ((100.65613168232062 21.392435433612434, 100.60799547628488 21.30906107907498, 100.51172306421358 21.30906107907498, 100.46358685817785 21.392435433612434, 100.51172306421358 21.47580978814989, 100.60799547628488 21.47580978814989, 100.65613168232062 21.392435433612434))",7,none,none,none
9711.32582938,623.403985558,19.6394133953,0,0,"POLYGON ((101.23376615474899 21.392435433612434, 101.18562994871326 21.30906107907498, 101.08935753664196 21.30906107907498, 101.04122133060622 21.392435433612434, 101.08935753664196 21.47580978814989, 101.18562994871326 21.47580978814989, 101.23376615474899 21.392435433612434))",8,none,none,none
9710.21332945,724.596276697,61.9847281953,0,0,"POLYGON ((101.37817477285603 21.30906107907498, 101.33003856682029 21.22568672453764, 101.23376615474899 21.22568672453764, 101.18562994871326 21.30906107907498, 101.23376615474899 21.392435433612434, 101.33003856682029 21.392435433612434, 101.37817477285603 21.30906107907498))",9,none,none,none
9955.07129703,864.039621765,51.892518735,0,1,"POLYGON ((101.52258339096329 21.392435433612434, 101.47444718492756 21.30906107907498, 101.37817477285603 21.30906107907498, 101.33003856682029 21.392435433612434, 101.37817477285603 21.47580978814989, 101.47444718492756 21.47580978814989, 101.52258339096329 21.392435433612434))",10,none,none,none
9967.26700536,1042.76344086,70.2841733709,0,1,"POLYGON ((101.66699200907033 21.30906107907498, 101.61885580303459 21.22568672453764, 101.52258339096329 21.22568672453764, 101.47444718492756 21.30906107907498, 101.52258339096329 21.392435433612434, 101.61885580303459 21.392435433612434, 101.66699200907033 21.30906107907498))",11,none,none,none
9938.04765625,910.93421308,50.9672716982,0,1,"POLYGON ((101.81140062717736 21.392435433612434, 101.76326442114163 21.30906107907498, 101.66699200907033 21.30906107907498, 101.61885580303459 21.392435433612434, 101.66699200907033 21.47580978814989, 101.76326442114163 21.47580978814989, 101.81140062717736 21.392435433612434))",12,none,none,none
9952.03448276,1230.49644106,7.04869926148,0,0,"POLYGON ((101.95580924528446 21.30906107907498, 101.90767303924889 21.22568672453764, 101.81140062717736 21.22568672453764, 101.76326442114163 21.30906107907498, 101.81140062717736 21.392435433612434, 101.90767303924889 21.392435433612434, 101.95580924528446 21.30906107907498))",13,none,none,none
9984.53741497,1049.64944521,7.41461323372,0,0,"POLYGON ((100.22290582799928 21.47580978814989, 100.17476962196355 21.392435433612434, 100.07849720989225 21.392435433612434, 100.03036100385651 21.47580978814989, 100.07849720989225 21.559184142687343, 100.17476962196355 21.559184142687343, 100.22290582799928 21.47580978814989))",14,none,none,none
9899.7588187,1167.74684422,44.2189202498,0,0,"POLYGON ((100.36731444610632 21.559184142687343, 100.31917824007058 21.47580978814989, 100.22290582799928 21.47580978814989, 100.17476962196372 21.559184142687343, 100.22290582799928 21.642558497224854, 100.31917824007058 21.642558497224854, 100.36731444610632 21.559184142687343))",15,none,none,none
9922.19120879,1537.54710245,13.9452797848,0,0,"POLYGON ((100.51172306421358 21.47580978814989, 100.46358685817785 21.392435433612434, 100.36731444610632 21.392435433612434, 100.31917824007058 21.47580978814989, 100.36731444610632 21.559184142687343, 100.46358685817785 21.559184142687343, 100.51172306421358 21.47580978814989))",16,none,none,none
